machineID,datetime,volt,rotate,pressure,vibration,model,age,failure
1,12/5/2015 21:00,197.5442014,380.1386686,98.13027201,50.14344484,model3,18,0
1,12/5/2015 22:00,166.9550551,453.8284871,115.2836359,45.55834226,model3,18,0
1,12/5/2015 23:00,179.7691461,490.6664879,87.14689884,39.91580876,model3,18,0
1,12/6/2015 0:00,173.5526688,442.3666508,92.92533778,40.62586722,model3,18,0
1,12/6/2015 1:00,159.9951494,485.2439031,97.68730827,28.61562938,model3,18,0
1,12/6/2015 2:00,173.0140928,454.7943725,97.09113142,39.34019959,model3,18,0
1,12/6/2015 3:00,154.3938926,549.4658209,92.74930195,43.90402916,model3,18,0
1,12/6/2015 4:00,192.153103,499.9223363,86.79273133,43.97563801,model3,18,0
1,12/6/2015 5:00,160.7658871,448.5135901,82.31162016,35.62657234,model3,18,0
1,12/6/2015 6:00,181.8207491,436.900212,85.15404901,43.31298969,model3,18,0
1,12/6/2015 7:00,146.0901454,423.5728891,111.1504188,45.81724751,model3,18,0
1,12/6/2015 8:00,180.3996748,394.8067365,110.2810565,46.61436148,model3,18,0
1,12/6/2015 9:00,158.8768597,422.1832398,83.79991849,42.15654114,model3,18,0
1,12/6/2015 10:00,159.7795791,466.3635494,111.9084781,43.58172165,model3,18,0
1,12/6/2015 11:00,171.2575198,441.0259895,106.608692,36.13859916,model3,18,0
1,12/6/2015 12:00,142.4527312,598.4436847,87.11668195,33.08382233,model3,18,0
1,12/6/2015 13:00,167.3485856,459.6090742,109.0462874,46.65294383,model3,18,0
1,12/6/2015 14:00,188.8211526,394.8204184,95.76388917,46.04895757,model3,18,0
1,12/6/2015 15:00,163.1716647,406.2611607,102.4258663,39.14418663,model3,18,0
1,12/6/2015 16:00,169.0227791,539.6475208,102.1761537,39.95766496,model3,18,0
1,12/6/2015 17:00,187.5743783,418.9908994,101.9050843,37.4257168,model3,18,0
1,12/6/2015 18:00,166.7376656,476.1596647,99.01834681,34.54964149,model3,18,0
1,12/6/2015 19:00,193.5049,443.3725207,107.1913333,51.86297709,model3,18,0
1,12/6/2015 20:00,159.6498174,471.4259884,96.50269819,39.72421621,model3,18,0
