machineID,datetime,volt,rotate,pressure,vibration,model,age,failure
2,12/29/2015 1:00,155.5314639,360.2925897,89.97178605,47.68676944,model4,7,0
2,12/29/2015 2:00,154.3913211,336.7168666,85.48034784,39.06192943,model4,7,0
2,12/29/2015 3:00,180.2993902,376.8136086,99.0113824,44.14737693,model4,7,0
2,12/29/2015 4:00,136.025764,275.9347919,80.10390459,41.95746027,model4,7,0
2,12/29/2015 5:00,174.4402088,387.066947,95.29488943,39.70384345,model4,7,0
2,12/29/2015 6:00,176.1462393,317.7110587,94.84542415,48.67926298,model4,7,1
2,12/29/2015 7:00,189.8858312,443.7547922,113.5829858,39.22368025,model4,7,0
2,12/29/2015 8:00,174.0332709,511.6878924,92.20332892,38.05715395,model4,7,0
2,12/29/2015 9:00,179.4419055,489.9344776,112.2033784,38.04430682,model4,7,0
2,12/29/2015 10:00,190.4867063,477.7123729,107.4523287,44.21259849,model4,7,0
2,12/29/2015 11:00,181.7242506,453.4683836,94.97848137,49.63215044,model4,7,0
2,12/29/2015 12:00,172.0679219,519.1090621,79.75469425,40.02364131,model4,7,0
2,12/29/2015 13:00,176.3724697,476.4688814,91.7111284,31.54362008,model4,7,0
2,12/29/2015 14:00,176.5277613,535.9713274,96.48518083,36.80384577,model4,7,0
2,12/29/2015 15:00,170.8152531,400.7563382,94.85435954,38.30111441,model4,7,0
2,12/29/2015 16:00,193.7722882,419.3323824,105.6787606,33.68570764,model4,7,0
2,12/29/2015 17:00,204.9317187,488.1309603,97.47299744,34.0550246,model4,7,0
2,12/29/2015 18:00,189.0743744,525.5399976,92.79780641,29.77397609,model4,7,0
2,12/29/2015 19:00,184.4250786,537.3327749,101.0593012,32.94917124,model4,7,0
2,12/29/2015 20:00,173.7494088,489.7435757,99.07164238,47.00153038,model4,7,0
2,12/29/2015 21:00,166.9056675,432.1976492,102.6575255,46.24526713,model4,7,0
2,12/29/2015 22:00,173.3272319,442.8120788,89.56360818,38.65379035,model4,7,0
2,12/29/2015 23:00,137.7377275,473.9314861,99.03993406,47.64253442,model4,7,0
2,12/30/2015 0:00,182.4151938,454.0057057,97.6568359,39.23948377,model4,7,0
