machineID,datetime,volt,rotate,pressure,vibration,model,age,failure
5,11/19/2015 19:00,167.5339611,476.0591483,87.65935618,39.20595224,model3,2,0
5,11/19/2015 20:00,205.5971275,442.4498095,103.3115114,35.37544585,model3,2,0
5,11/19/2015 21:00,181.76372,395.3886294,111.6788187,48.80865739,model3,2,0
5,11/19/2015 22:00,191.4260493,428.0160445,99.45460097,43.47323818,model3,2,0
5,11/19/2015 23:00,173.2861479,372.0980676,87.28661824,38.51494099,model3,2,0
5,11/20/2015 0:00,213.7395394,437.8754308,100.9291416,35.29613423,model3,2,0
5,11/20/2015 1:00,172.4196316,573.8411087,89.87364199,39.02799981,model3,2,0
5,11/20/2015 2:00,179.3921467,462.3465647,105.5459922,40.46511197,model3,2,0
5,11/20/2015 3:00,196.5458421,430.4094504,102.8810501,42.43445906,model3,2,0
5,11/20/2015 4:00,175.5758802,417.1524749,99.5227855,52.75669034,model3,2,0
5,11/20/2015 5:00,182.1332964,434.4173157,105.0743002,35.72098966,model3,2,0
5,11/20/2015 6:00,226.4206239,474.2413886,102.1764907,44.73915997,model3,2,1
5,11/20/2015 7:00,156.1823098,478.4557487,107.7223668,35.35659796,model3,2,0
5,11/20/2015 8:00,179.7946438,521.1646636,108.9418455,42.40796354,model3,2,0
5,11/20/2015 9:00,163.7220564,424.2651266,100.1345812,42.83806918,model3,2,0
5,11/20/2015 10:00,193.905507,399.1617429,92.51556319,39.28997846,model3,2,0
5,11/20/2015 11:00,179.9020327,439.0946284,103.7739456,39.23026072,model3,2,0
5,11/20/2015 12:00,180.4961538,490.7912853,94.76415169,25.75602728,model3,2,0
5,11/20/2015 13:00,166.4932426,515.9529832,87.49752104,50.64593999,model3,2,0
5,11/20/2015 14:00,173.6754676,443.6121344,101.1079705,31.91624134,model3,2,0
5,11/20/2015 15:00,178.380873,494.3104259,98.35700458,38.34253819,model3,2,0
5,11/20/2015 16:00,184.5165669,479.9514824,121.2780861,40.81938434,model3,2,0
5,11/20/2015 17:00,157.778453,457.3906903,95.00469843,36.47751319,model3,2,0
5,11/20/2015 18:00,132.5232167,384.0200294,86.31038532,43.85596788,model3,2,0
