machineID,datetime,volt,rotate,pressure,vibration,model,age,failure
3,12/15/2015 13:00,161.5732418,403.4843012,93.64665781,32.67737374,model3,8,0
3,12/15/2015 14:00,180.5792278,542.6232668,109.8244824,37.49892441,model3,8,0
3,12/15/2015 15:00,181.460713,452.3094173,95.51181455,43.32590217,model3,8,0
3,12/15/2015 16:00,169.4004844,456.0654641,95.51928608,34.39350586,model3,8,0
3,12/15/2015 17:00,180.427432,425.3573896,82.46452001,42.81117899,model3,8,0
3,12/15/2015 18:00,129.4892135,431.3343023,103.5535941,41.71401467,model3,8,0
3,12/15/2015 19:00,177.2027461,493.2809133,91.18341627,38.75840624,model3,8,0
3,12/15/2015 20:00,162.5025036,382.5606436,96.1380733,34.02544874,model3,8,0
3,12/15/2015 21:00,200.5138149,426.0828671,104.9329189,44.56307038,model3,8,0
3,12/15/2015 22:00,162.7746378,472.5706003,71.89607405,35.73871647,model3,8,0
3,12/15/2015 23:00,168.1212739,504.2464725,93.31893564,32.09377763,model3,8,0
3,12/16/2015 0:00,152.518895,397.7303619,105.2054666,50.49788617,model3,8,0
3,12/16/2015 1:00,166.2950977,378.0863919,90.44614955,39.04973993,model3,8,0
3,12/16/2015 2:00,145.61919,445.1582922,113.902877,40.25515097,model3,8,0
3,12/16/2015 3:00,167.616823,460.9122855,99.33174147,34.13350864,model3,8,0
3,12/16/2015 4:00,195.4001274,384.3358813,126.0331144,39.52830474,model3,8,0
3,12/16/2015 5:00,161.2588447,382.2658363,103.5540312,39.67778905,model3,8,0
3,12/16/2015 6:00,191.0987069,434.756165,90.66283599,50.92682266,model3,8,0
3,12/16/2015 7:00,203.8505819,407.8258057,101.8177386,38.55083277,model3,8,0
3,12/16/2015 8:00,165.5532691,503.3275834,93.56913866,37.20725288,model3,8,0
3,12/16/2015 9:00,166.5433502,455.8214576,101.5570925,43.98748873,model3,8,0
3,12/16/2015 10:00,144.5252518,420.1885652,111.7302302,37.39517234,model3,8,0
3,12/16/2015 11:00,178.7235907,387.8074127,106.3516603,55.42945255,model3,8,0
3,12/16/2015 12:00,183.8475036,472.8331921,98.13628509,40.58311675,model3,8,0
